839580	NAC001	4311	0.299
839580	NAC001	4318	0.302
839580	NAC001	5092	0.643
839321	NGA3	12588	0.545
839574	DCL1	23140	0.002
839574	DCL1	23147	0.003
839574	DCL1	24461	0.165
839579	PPa1	31473	0.848
839429	PDH-E1	47576	0.834
839395	KCS1	58635	0.283
839359	F6F3.33	61929	0.987
839359	F6F3.33	63190	0.326
839349	CIPK9	67058	0.198
839349	CIPK9	67194	0.161
839294	F6F3.30	70644	0.671
839278	GIF2	72517	0.101
839278	GIF2	72563	0.127
839239	F6F3.5	76751	0.934
839239	F6F3.5	76812	0.976
839493	RABA3	86624	0.928
839493	RABA3	86942	0.762
839481	F6F3.2	90426	0.959
839420	FKGP	92031	0.159
839420	FKGP	93826	0.572
839420	FKGP	94292	0.679
839420	FKGP	95078	0.861
839358	AT1G01225	96452	0.350
839331	F6F3.4	98307	0.489
839274	F633.5	100050	0.087
839274	F633.5	100371	0.238
839274	F633.5	100373	0.239
839274	F633.5	101751	0.888
839545	F6F3.7	109196	0.090
839545	F6F3.7	110077	0.410
839470	CYP703A2	112622	0.212
839445	CNX3	115573	0.621
839445	CNX3	116098	0.859
839293	F6F3.12	125441	0.540
839293	F6F3.12	126168	0.464
839293	F6F3.12	128729	0.194
839293	F6F3.12	128933	0.173
838964	F6F3.14	136528	0.211
838964	F6F3.14	137119	0.496
839104	HTR12	143764	0.092
839104	HTR12	144113	0.208
839104	HTR12	144831	0.448
837503	UGT72B3	155985	0.107
837247	TBL25	156990	0.781
837247	TBL25	157972	0.363
837155	F6F3.24	159940	0.906
839469	PIPK11	168857	0.105
839469	PIPK11	170552	0.704
837082	ACS2	176345	0.236
837082	ACS2	176557	0.315
837082	ACS2	176804	0.406
837082	ACS2	176892	0.439
837082	ACS2	177007	0.481
837082	ACS2	178160	0.908
839440	F22L4.5	180315	0.891
839430	F22L4.17	185249	0.102
839430	F22L4.17	185250	0.103
839430	F22L4.17	187062	0.964
839430	F22L4.17	187069	0.968
839401	AN	187893	0.224
839401	AN	188734	0.477
839337	ASG4	191310	0.444
839533	F22L4.8	196941	0.412
839533	F22L4.8	198713	0.976
839533	F22L4.8	198714	0.976
839533	F22L4.8	198717	0.977
839536	BPS1	199977	0.200
839523	MPK11	202220	0.050
837183	F22L4.11	206820	0.696
837183	F22L4.11	207077	0.791
839411	FRO2	209255	0.063
839347	CYP86A4	218962	0.052
839347	CYP86A4	218964	0.053
839347	CYP86A4	221265	0.991
839297	GPAT4	222537	0.669
839231	T1N6.1	229063	0.121
839231	T1N6.1	230091	0.592
839499	SPPL4	233088	0.951
839499	SPPL4	233099	0.949
839499	SPPL4	235366	0.501
839499	SPPL4	236358	0.305
839499	SPPL4	236438	0.290
839461	T1N6.4	240656	0.715
839461	T1N6.4	241213	0.520
839365	T1N6.28	243846	0.661
839251	PUB54	246333	0.967
839251	PUB54	246334	0.966
839251	PUB54	247061	0.633
839251	PUB54	248097	0.157
839243	PRD3	250600	0.447
839265	ATAF1	268845	0.466
839265	ATAF1	269648	0.905
839253	BSK4	273430	0.532
839252	AtTAD1	277225	0.589
837323	T1N6.18	278875	0.064
837323	T1N6.18	281058	0.572
839267	PLIM2b	283729	0.651
839267	PLIM2b	284028	0.853
839267	PLIM2b	284107	0.906
837332	KEA1	286283	0.282
837332	KEA1	287499	0.459
837332	KEA1	288553	0.613
837332	KEA1	289362	0.731
837332	KEA1	291010	0.972
839264	T1N6.25	301738	0.148
839291	T1N6.26	303631	0.113
839291	T1N6.26	304288	0.912
839283	PFC1	304288	0.928
839283	PFC1	304582	0.793
839283	PFC1	305333	0.449
837373	AtGEN1	306949	0.843
839318	SBTI1.1	312127	0.661
839305	F22M8.4	314056	0.680
839306	ARK2	325902	0.110
839306	ARK2	327155	0.347
839306	ARK2	329399	0.770
839285	T7I23.3	355315	0.910
839279	T7I23.14	362028	0.501
839244	T7I23.15	375595	0.166
839244	T7I23.15	375599	0.167
839244	T7I23.15	376188	0.210
839244	T7I23.15	386374	0.960
839244	T7I23.15	386822	0.993
837541	SBI1	390723	0.303
5007658	ALG12	408494	0.968
839577	T6A9.13	410490	0.907
839554	T6A9.18	411325	0.652
839543	T6A9.14	414538	0.098
839541	T6A9.15	416477	0.475
839541	T6A9.15	417817	0.928
839541	T6A9.15	417819	0.929
839541	T6A9.15	417821	0.930
837602	CER1	419893	0.354
837630	NAC004	436552	0.189
839390	NAC005	439023	0.315
839344	T6A9.21	440778	0.791
839344	T6A9.21	442115	0.309
839381	T6A9.35	443630	0.839
839381	T6A9.35	443796	0.786
839381	T6A9.35	443836	0.774
839381	T6A9.35	444509	0.562
839381	T6A9.35	445598	0.220
839425	T6A9.30	461956	0.864
839367	T6A9.2	461956	0.993
839367	T6A9.2	463272	0.207
839490	T6A9.34	470563	0.849
837735	T6A9.6	475671	0.579
837735	T6A9.6	475756	0.617
837735	T6A9.6	476014	0.732
837745	T6A9.7	477362	0.192
837745	T6A9.7	477518	0.264
837745	T6A9.7	478698	0.808
839558	GPAT2	482586	0.710
839508	GA2OX6	489432	0.923
839364	T6A9.10	491199	0.159
837779	T6A9.11	494030	0.257
837779	T6A9.11	495147	0.991
839242	ARFD1B	495147	0.924
839443	T6A9.22	504485	0.992
839443	T6A9.22	504565	0.963
839443	T6A9.22	505768	0.535
839443	T6A9.22	506286	0.350
839443	T6A9.22	506582	0.244
837812	T6A9.26	511806	0.979
837812	T6A9.26	512766	0.488
837812	T6A9.26	512829	0.456
837812	T6A9.26	513022	0.357
837812	T6A9.26	513073	0.331
837812	T6A9.26	513076	0.330
839236	AT1G02475	513846	0.914
839236	AT1G02475	515099	0.187
839353	ABCB11	528412	0.881
839282	ABCB12	530627	0.189
839282	ABCB12	530629	0.190
839282	ABCB12	531534	0.371
839282	ABCB12	532026	0.469
839282	ABCB12	533472	0.759
839422	MEA	546523	0.400
839422	MEA	548505	0.844
837915	T14P4.10	554143	0.641
837951	T14P4.7	569484	0.463
839544	T14P4.6	572563	0.774
839544	T14P4.6	573755	0.408
839532	T14P4.5	576104	0.039
839475	GATL5	592870	0.460
839467	CSLD5	597426	0.296
839455	MORF	601644	0.193
839455	MORF	601646	0.193
839432	T14P4.27	602984	0.260
839432	T14P4.27	603363	0.460
839421	T14P4.24	604874	0.999
839407	emb2386	607941	0.918
839385	CEL2	613228	0.989
839385	CEL2	615988	0.080
838078	F22D16.20	619246	0.485
839308	AT1G02816	622743	0.805
839308	AT1G02816	622745	0.806
839304	LEA3	624530	0.041
839262	SR34	627852	0.361
839262	SR34	628399	0.524
839262	SR34	628521	0.561
839262	SR34	628631	0.593
839303	TPK1	642565	0.975
839507	F22D16.11	647680	0.625
839507	F22D16.11	650931	0.155
839479	GSTF5	663854	0.328
839479	GSTF5	664109	0.136
838240	GSTF4	665183	0.952
838240	GSTF4	665185	0.950
839453	WEE1	674502	0.384
839415	CUL2	679341	0.493
839415	CUL2	680418	0.761
839415	CUL2	680869	0.873
839380	F22D16.1	686934	0.074
839315	PEX6	688543	0.846
839315	PEX6	690414	0.462
839556	F10O3.17	693352	0.049
839556	F10O3.17	693431	0.072
839556	F10O3.17	693437	0.074
839473	F10O3.15	702736	0.534
839473	F10O3.15	703850	0.968
839446	F10O3.14	703850	0.999
839323	SPI	714531	0.862
839323	SPI	714701	0.850
839323	SPI	715336	0.808
839323	SPI	718116	0.624
839581	AtLFG4	731112	0.738
839581	AtLFG4	731470	0.944
838350	NET1D	735470	0.420
838350	NET1D	737186	0.166
838350	NET1D	737329	0.145
838362	MCCA	740618	0.231
839573	F10O3.8	744876	0.648
2745740	AT1G03106	748122	0.976
838400	PSAD-2	753754	0.531
839562	F10O3.2	757175	0.336
839566	FZL	762834	0.319
839566	FZL	764299	0.616
839566	FZL	765425	0.844
